RC_ID,H3_count,Retail_N,Area_km2
RC_EW_2201,32,133,0.062123094
RC_EW_2204,249,690,0.482128708
RC_EW_2212,51,141,0.098842078
RC_EW_2217,123,354,0.238151897
RC_EW_2223,45,223,0.084924331
RC_EW_2228,94,116,0.179062117
RC_EW_223,137,177,0.257572258
RC_EW_2230,49,235,0.093517184
RC_EW_2232,63,182,0.119925089
RC_EW_2239,24,105,0.046005346
RC_EW_2240,118,569,0.225670381
RC_EW_2245,17,106,0.0325088
RC_EW_2246,75,250,0.143071867
RC_EW_2247,50,310,0.094996808
RC_EW_2251,464,914,0.879904695
RC_EW_2253,89,55,0.168963315
RC_EW_2264,29,205,0.055628139
RC_EW_2265,153,305,0.291867001
RC_EW_227,88,195,0.164369727
RC_EW_2272,88,390,0.168480075
RC_EW_2275,51,352,0.097719108
RC_EW_2282,45,218,0.086119438
RC_EW_2289,14,105,0.026888514
RC_EW_2294,202,342,0.386641278
RC_EW_23,23,153,0.047332046
RC_EW_2308,86,188,0.164463728
RC_EW_231,24,177,0.044857907
RC_EW_2314,22,156,0.042276719
RC_EW_2317,33,159,0.063256066
RC_EW_2328,43,235,0.08278518
RC_EW_2329,35,166,0.067390502
RC_EW_2330,22,176,0.042386897
RC_EW_2335,98,212,0.188376828
RC_EW_2337,73,216,0.140397307
RC_EW_2338,59,261,0.113584124
RC_EW_2341,32,223,0.061162785
RC_EW_2342,50,170,0.095849598
RC_EW_2347,74,247,0.142251741
RC_EW_2355,90,243,0.173051278
RC_EW_2361,38,132,0.073148906
RC_EW_2368,365,796,0.701470024
RC_EW_2372,112,396,0.21491116
RC_EW_2380,74,228,0.142268453
RC_EW_2382,605,490,1.16188891
RC_EW_2387,226,560,0.434153818
RC_EW_239,17,125,0.031960245
RC_EW_2397,109,243,0.210043123
RC_EW_24,20,140,0.041429712
RC_EW_2400,24,130,0.046328857
RC_EW_2404,57,179,0.109987483
RC_EW_2406,190,697,0.36650208
RC_EW_2408,81,180,0.156148162
RC_EW_2409,92,145,0.177333835
RC_EW_241,59,162,0.110998701
RC_EW_2417,19,138,0.036680609
RC_EW_2419,30,104,0.057875903
RC_EW_2422,181,557,0.349050455
RC_EW_2423,91,364,0.175309596
RC_EW_2426,109,566,0.210302646
RC_EW_2434,60,169,0.115746428
RC_EW_2437,179,561,0.344848151
RC_EW_2439,117,283,0.225661355
RC_EW_2451,68,186,0.131177916
RC_EW_2465,107,234,0.206375484
RC_EW_2467,30,163,0.057998741
RC_EW_2471,51,130,0.098459614
RC_EW_2474,48,161,0.092550061
RC_EW_2478,56,187,0.107946727
RC_EW_248,70,162,0.132220335
RC_EW_2481,87,439,0.167668543
RC_EW_2484,21,142,0.040637979
RC_EW_2486,122,313,0.235197784
RC_EW_2489,132,278,0.254897211
RC_EW_2490,28,123,0.05408754
RC_EW_2498,50,224,0.096600755
RC_EW_2502,64,253,0.123443159
RC_EW_2504,23,112,0.044457442
RC_EW_2508,38,142,0.073339996
RC_EW_251,35,185,0.065772763
RC_EW_2520,91,211,0.17518148
RC_EW_2523,114,215,0.219461343
RC_EW_2524,71,160,0.136779388
RC_EW_2526,14,109,0.027049231
RC_EW_253,30,119,0.056370154
RC_EW_2545,61,177,0.11755609
RC_EW_2549,117,177,0.22522428
RC_EW_255,22,113,0.041530803
RC_EW_2550,198,414,0.381029326
RC_EW_2552,216,388,0.415953783
RC_EW_2562,18,123,0.03482054
RC_EW_2567,88,327,0.169739286
RC_EW_2569,105,388,0.202424108
RC_EW_2571,75,31,0.144434058
RC_EW_2574,58,172,0.111883725
RC_EW_2589,359,439,0.689921641
RC_EW_2594,24,140,0.046226106
RC_EW_2608,112,191,0.214283348
RC_EW_2609,62,42,0.118781137
RC_EW_261,41,105,0.076315098
RC_EW_2613,72,209,0.137956728
RC_EW_2617,218,392,0.417387727
RC_EW_2623,19,142,0.036592427
RC_EW_2628,181,349,0.347311258
RC_EW_2630,147,24,0.281919623
RC_EW_2635,82,156,0.15489518
RC_EW_264,119,490,0.221411897
RC_EW_2645,265,906,0.500138062
RC_EW_2652,57,172,0.107397437
RC_EW_2654,65,320,0.123213816
RC_EW_2663,29,131,0.054951245
RC_EW_2673,25,112,0.047287102
RC_EW_2676,61,254,0.115992539
RC_EW_2681,168,103,0.320320593
RC_EW_2685,57,222,0.108765966
RC_EW_2686,106,548,0.202353289
RC_EW_2702,117,539,0.221492752
RC_EW_2704,159,26,0.300728552
RC_EW_2705,58,225,0.110228146
RC_EW_2707,67,338,0.128790768
RC_EW_2709,87,292,0.166844638
RC_EW_2713,76,272,0.147956829
RC_EW_2720,22,105,0.042802311
RC_EW_2721,30,117,0.058444964
RC_EW_2723,17,120,0.033147476
RC_EW_2729,34,131,0.066181645
RC_EW_2739,20,139,0.039020272
RC_EW_2746,51,181,0.099267133
RC_EW_2751,278,1659,0.540658534
RC_EW_2755,25,102,0.048733178
RC_EW_2756,135,444,0.262757166
RC_EW_276,20,131,0.038260202
RC_EW_2776,32,123,0.062338118
RC_EW_2778,70,31,0.136214452
RC_EW_278,151,20,0.287787445
RC_EW_2788,85,200,0.165283596
RC_EW_2794,36,111,0.07014505
RC_EW_2808,97,36,0.188442509
RC_EW_2809,49,57,0.095181343
RC_EW_281,242,686,0.461411507
RC_EW_2813,34,228,0.066281823
RC_EW_2824,27,155,0.052603157
RC_EW_2829,50,204,0.09721387
RC_EW_2832,60,171,0.117135386
RC_EW_2833,46,148,0.089818217
RC_EW_2834,26,137,0.050790308
RC_EW_2840,66,205,0.128803758
RC_EW_2848,603,940,1.167573272
RC_EW_2879,60,273,0.116254553
RC_EW_2881,106,665,0.206954556
RC_EW_2888,217,40,0.422734089
RC_EW_2889,28,142,0.054716207
RC_EW_2892,19,169,0.037190925
RC_EW_2896,274,592,0.535614938
RC_EW_29,77,508,0.160355308
RC_EW_2902,241,268,0.468848233
RC_EW_2905,50,166,0.097481373
RC_EW_2909,79,114,0.153313583
RC_EW_2911,99,37,0.193090003
RC_EW_2912,19,65,0.037151952
RC_EW_2920,51,102,0.099507746
RC_EW_2922,27,110,0.053017399
RC_EW_2929,110,200,0.215170698
RC_EW_2934,97,459,0.189933434
RC_EW_2939,39,111,0.076255399
RC_EW_294,62,239,0.118213994
RC_EW_2942,44,254,0.086556423
RC_EW_2953,121,547,0.233354734
RC_EW_2955,131,14,0.252323605
RC_EW_2963,18,102,0.03476013
RC_EW_2969,175,223,0.337717246
RC_EW_2977,42,118,0.080860238
RC_EW_2979,40,174,0.077272438
RC_EW_2982,180,62,0.347066156
RC_EW_2987,165,357,0.318526621
RC_EW_2994,26,141,0.050182696
RC_EW_2998,15,103,0.029111066
RC_EW_3007,38,224,0.073679079
RC_EW_3012,32,194,0.062048338
RC_EW_3014,77,291,0.149097256
RC_EW_3016,43,153,0.083087442
RC_EW_302,153,569,0.291833344
RC_EW_3031,83,351,0.159842134
RC_EW_3045,19,131,0.036659926
RC_EW_3051,33,145,0.063477952
RC_EW_3053,42,104,0.080980449
RC_EW_3056,60,47,0.116077243
RC_EW_3064,57,184,0.110081662
RC_EW_3065,37,141,0.07152236
RC_EW_3066,129,455,0.249104798
RC_EW_307,170,43,0.324033028
RC_EW_3072,49,205,0.094839862
RC_EW_3074,36,236,0.069628174
RC_EW_3077,241,353,0.467471754
RC_EW_3079,49,79,0.095096233
RC_EW_3081,133,139,0.258054289
RC_EW_3083,33,155,0.064061522
RC_EW_3085,29,175,0.056379552
RC_EW_3091,37,121,0.071717358
RC_EW_3094,27,128,0.052406856
RC_EW_3096,234,499,0.453094194
RC_EW_31,32,153,0.066884044
RC_EW_3101,199,34,0.385487969
RC_EW_3102,124,492,0.240645461
RC_EW_3109,458,387,0.887169316
